Study Name	Cu-110
Sample Name	2024-05-01
Run Name	cooldown
Operator	Angus+Akarsh
Date	5/1/2024
Time	14:47
Sign	NEG
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	2:48:20 PM
	
Time	Amplitude
0.000000E+0	-5.179946E-3
5.000000E-11	-5.299852E-3
1.000000E-10	-5.392351E-3
1.500000E-10	-5.460869E-3
2.000000E-10	-5.495128E-3
2.500000E-10	-5.484850E-3
3.000000E-10	-5.450591E-3
3.500000E-10	-5.402629E-3
4.000000E-10	-5.340963E-3
4.500000E-10	-5.296426E-3
5.000000E-10	-5.269019E-3
5.500000E-10	-5.234760E-3
6.000000E-10	-5.217631E-3
6.500000E-10	-5.224482E-3
7.000000E-10	-5.224482E-3
7.500000E-10	-5.210779E-3
8.000000E-10	-5.227908E-3
8.500000E-10	-5.245038E-3
9.000000E-10	-5.231334E-3
9.500000E-10	-5.207353E-3
1.000000E-9	-5.197075E-3
1.050000E-9	-5.186798E-3
1.100000E-9	-5.162816E-3
1.150000E-9	-5.155965E-3
1.200000E-9	-5.176520E-3
1.250000E-9	-5.210779E-3
1.300000E-9	-5.255315E-3
1.350000E-9	-5.313556E-3
1.400000E-9	-5.378647E-3
1.450000E-9	-5.454017E-3
1.500000E-9	-5.539664E-3
1.550000E-9	-5.611608E-3
1.600000E-9	-5.656145E-3
1.650000E-9	-5.683552E-3
1.700000E-9	-5.690403E-3
1.750000E-9	-5.666422E-3
1.800000E-9	-5.628737E-3
1.850000E-9	-5.594479E-3
1.900000E-9	-5.553368E-3
1.950000E-9	-5.495128E-3
2.000000E-9	-5.447165E-3
2.050000E-9	-5.406055E-3
2.100000E-9	-5.347814E-3
2.150000E-9	-5.299852E-3
2.200000E-9	-5.272445E-3
2.250000E-9	-5.234760E-3
2.300000E-9	-5.183372E-3
2.350000E-9	-5.145687E-3
2.400000E-9	-5.094299E-3
2.450000E-9	-5.015503E-3
2.500000E-9	-4.940134E-3
2.550000E-9	-4.881893E-3
2.600000E-9	-4.820227E-3
2.650000E-9	-4.768839E-3
2.700000E-9	-4.741432E-3
2.750000E-9	-4.727728E-3
2.800000E-9	-4.724302E-3
2.850000E-9	-4.748284E-3
2.900000E-9	-4.799672E-3
2.950000E-9	-4.857912E-3
3.000000E-9	-4.919578E-3
3.050000E-9	-4.981244E-3
3.100000E-9	-5.042910E-3
3.150000E-9	-5.121706E-3
3.200000E-9	-5.193649E-3
3.250000E-9	-5.245038E-3
3.300000E-9	-5.282723E-3
3.350000E-9	-5.316981E-3
3.400000E-9	-5.337537E-3
3.450000E-9	-5.351240E-3
3.500000E-9	-5.364944E-3
3.550000E-9	-5.361518E-3
3.600000E-9	-5.347814E-3
3.650000E-9	-5.351240E-3
3.700000E-9	-5.361518E-3
3.750000E-9	-5.361518E-3
